,titre,budget,duree,entrees_fr,franchise,genres,pegi_fr,pegi_usa,entrees_usa,salles_fr,studio,estimation,is_compositeur,annee,origine
712,dune (2021),165000000,155,1030687,0,science fiction, Tous publics ,PG,41011174.0,892,warner bros.,,1,2021,etats-unis
713,dune (2021) (rep. 2024),165000000,155,78390,0,science fiction, Tous publics ,PG,570000.0,242,warner bros.,,1,2024,etats-unis
714,dune : deuxième partie,190000000,166,1383999,0,science fiction, Tous publics ,PG,82505391.0,994,warner bros.,,1,2024,etats-unis
715,dunkerque,150000000,106,925204,0,guerre, Tous publics ,PG,50513488.0,668,warner bros.,,1,2017,etats-unis
716,décalage horaire,12930000,90,496630,0,comédie, Tous publics ,,,504,bac films,,1,2002,france
717,délivre-nous du mal,30000000,119,143362,0,horreur, Moins de 12 ans ,R,9740471.0,238,sony pictures,,0,2014,etats-unis
718,démineurs,11000000,130,87533,0,drame, Tous publics ,R,145352.0,121,snd,,0,2009,etats-unis
719,dérapage,22000000,106,154731,0,thriller, Moins de 12 ans ,R,12211986.0,304,walt disney pictures,,0,2006,etats-unis
720,dérapages incontrôlés,45000000,100,142209,0,aventure - action,,R,17128062.0,203,uip,,0,2002,etats-unis
721,désaccord parfait,7990000,91,191986,0,romance,,,,331,gaumont sony,,0,2006,france
722,désigné coupable,14000000,139,148446,0,drame, Tous publics ,R,165133.0,313,metropolitan,,0,2021,Autre
723,désobéissance,6000000,114,49119,0,drame, Tous publics ,R,237393.0,99,mars distribution,,0,2018,etats-unis
724,et l'extra-terrestre (20th anniversary),10500000,120,181620,0,fantasy, Tous publics ,PG,14223110.0,396,uip,,1,2002,etats-unis
725,echange standard,52000000,101,89384,0,comédie, Tous publics ,R,13531115.0,157,universal,,0,2011,etats-unis
726,ecole paternelle,60000000,93,203655,0,film familial, Tous publics ,PG,27623580.0,447,columbia,,0,2003,etats-unis
727,ecrire pour exister,21000000,123,163878,0,drame, Tous publics ,PG,9405582.0,244,paramount,,0,2007,etats-unis
728,ed wood,18000000,126,126849,0,comédie, Tous publics ,R,1903768.0,80,gbvi,,1,1995,etats-unis
729,eddie the eagle,23000000,105,51964,0,drame, Tous publics ,PG,6084682.0,193,20th century fox,,0,2016,Autre
730,eden,5170722,131,31663,0,comédie dramatique, Tous publics ,R,18987.0,122,ad vitam,,0,2014,france
731,edge of tomorrow,178000000,113,425198,0,science fiction, Tous publics ,PG,28760246.0,585,warner bros.,,0,2014,etats-unis
732,edmond,10940000,110,247500,0,comédie dramatique, Tous publics ,R,,445,gaumont,,0,2019,france
733,effacer l’historique,4490000,106,256355,0,comédie, Tous publics ,,,605,ad vitam,,0,2020,france
734,effets secondaires,30000000,106,198310,0,thriller, Tous publics ,R,9303145.0,208,arp selection,,1,2013,etats-unis
735,effraction (2011),35000000,91,101567,0,thriller, Moins de 12 ans ,R,16816.0,179,metropolitan,,0,2012,etats-unis
736,"eh mec, elle est où ma caisse ?",13000000,84,64071,0,comédie, Tous publics ,PG,13845914.0,191,ufd,,0,2001,etats-unis
737,eiffel,23400000,108,408803,0,comédie dramatique, Tous publics ,R,103016.0,685,pathé,,1,2021,france
738,elektra,65000000,90,241007,0,comicbook, Tous publics ,PG,12804793.0,496,20th century fox,,0,2005,etats-unis
739,elfe,32000000,95,50834,0,film familial, Tous publics ,PG,31113501.0,333,metropolitan,,0,2003,etats-unis
740,elle,8208546,130,213665,0,thriller, Moins de 12 ans ,R,50934.0,290,sbs distribution,,0,2016,france
741,elle est trop bien,10000000,95,145278,0,romance,,PG,16065430.0,240,bac films,,0,1999,etats-unis
742,elle s'appelait sarah,7878817,111,255461,0,drame, Tous publics ,PG,115708.0,325,ugc distribution,,0,2010,france
743,elle s'en va,5954815,113,128354,0,comédie dramatique, Tous publics ,,10536.0,182,wild bunch,,0,2013,france
744,elles (2012),3530000,96,41491,0,drame, Moins de 12 ans ,NC,24286.0,63,haut et court,,0,2012,france
745,elvis & nixon,4000000,86,28311,0,drame, Tous publics ,R,466447.0,98,warner bros.,,0,2016,etats-unis
746,elvis (2022),85000000,159,343596,0,musical, Tous publics ,PG,31211579.0,686,warner bros.,,0,2022,etats-unis
747,elysium,93050120,109,608085,0,science fiction, Tous publics ,R,29807393.0,468,sony pictures,,0,2013,etats-unis
748,embrassez qui vous voudrez,11430000,103,480951,0,comédie, Tous publics ,,,408,ufd,,0,2002,france
749,emmett till,20000000,130,31818,0,drame, Tous publics ,PG,2741834.0,115,universal,,0,2023,etats-unis
750,emprise,11000000,100,70722,0,horreur,,R,4208655.0,121,ctv international,,1,2002,etats-unis
751,en attendant bojangles,12270000,125,228476,0,comédie dramatique, Tous publics ,,,538,studiocanal,,0,2022,france
752,en guerre,4100000,112,100977,0,drame, Tous publics ,,1550.0,272,diaphana,,0,2018,france
753,"en mai, fais ce qu'il te plaît",15180033,113,109773,0,drame, Tous publics ,R,9738.0,361,pathé,,1,2015,france
754,en solitaire,16987760,96,323245,0,drame, Tous publics ,,,448,gaumont,,0,2013,france
755,en avant,200000000,100,515381,0,animation, Tous publics ,PG,39119861.0,579,walt disney pictures,,0,2020,etats-unis
756,en chair et en os,4970000,99,140720,0,drame, Tous publics ,,,149,ciby distribution,,0,1997,Autre
